epoch,loss1,loss2,loss3,loss4,loss5,test_loss6,acc6,train_loss6
96,1.090037,1.324428,1.401668,1.382676,1.256947,1.1946,0.5929,1.2911512
97,1.522764,1.569797,1.345710,1.283805,1.627116,1.2085,0.5836,1.4698384
98,1.487259,1.395913,1.632536,1.141153,1.176007,1.1945,0.5877,1.3665736
99,1.325702,1.380512,1.143547,1.320901,1.525743,1.2074,0.5832,1.339281
100,1.572936,0.895528,1.142715,1.526045,1.366620,1.2017,0.5790,1.3007688
101,1.683460,1.639390,1.503246,1.940634,2.060495,1.2364,0.5812,1.765445
102,1.573539,1.635938,1.444539,1.715242,1.460259,1.2113,0.5811,1.5659034
103,1.583059,1.893660,1.223041,1.708223,1.120208,1.1995,0.5852,1.5056382
104,1.208330,1.287485,1.539772,1.149912,1.742208,1.1801,0.5949,1.3855414
105,1.388590,1.460323,1.269068,1.219704,1.054287,1.1900,0.5866,1.2783944
106,2.015145,1.450097,1.578695,0.959365,1.774990,1.2044,0.5845,1.5556584
107,1.419324,1.410989,1.244746,1.765354,1.160844,1.1864,0.5908,1.4002514
108,1.168291,1.389748,1.232243,1.424790,1.413212,1.2030,0.5871,1.3256568
109,1.989021,1.831532,1.554636,1.260284,1.640052,1.1947,0.5833,1.655105
110,1.156564,1.344490,1.355402,1.255527,1.185081,1.1897,0.5939,1.2594128
111,1.270556,1.438213,1.295897,1.444352,1.128547,1.1910,0.5935,1.315513
112,1.766330,1.088285,1.207232,1.341420,1.224775,1.1789,0.5955,1.3256084
113,1.407675,1.620365,1.579134,1.184326,1.059956,1.1948,0.5942,1.3702912
114,1.150940,1.493559,1.193926,2.150684,1.572188,1.1763,0.5943,1.5122594
115,1.396129,1.753575,1.024950,1.676269,1.315030,1.1865,0.5897,1.4331906
116,1.531017,1.508515,1.412817,1.352815,1.610710,1.1823,0.5960,1.4831748
117,1.637463,1.250486,0.806452,1.513435,1.548365,1.1803,0.5906,1.3512402
118,1.501987,1.133322,1.239727,1.184621,1.344584,1.1752,0.5997,1.2808482
119,1.559766,1.097503,1.078278,1.134441,1.205496,1.1766,0.5909,1.2150968
120,1.473974,1.109523,1.556666,0.942471,1.353574,1.1841,0.5874,1.2872416
121,1.326857,1.272423,1.455959,1.204316,1.743838,1.1982,0.5859,1.4006786
